Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,class
1.425,1.971,2.993,2.504,0.2454,0.1514,0.2686,-0.05981,0.3076,1.047,0.9827,5.038,one
1.241,2.021,3.156,2.506,0.2551,0.2075,0.1355,0.1636,0.1514,0.9973,0.9277,5.403,one
1.438,1.936,3.199,2.588,0.1538,0.2258,0.1208,0.1294,0.2039,0.9363,1.035,5.068,one
1.532,1.924,3.063,2.524,0.2954,0.238,0.1782,0.105,0.199,0.9766,-9999,4.912,one
1.57,1.866,3.065,2.598,0.1965,0.1697,0.2527,0.1318,0.1868,1.133,1.09,5.084,one
2.148,1.936,3.273,3.077,0.21,0.2051,0.2759,0.1062,0.2356,1.012,1.1,5.471,one
3.169,1.71,3.682,4.298,0.6226,0.4163,0.3723,0.2637,0.3357,1.012,0.9607,5.389,one
3.999,1.646,4.792,5.4,1.014,1.123,0.6006,0.3271,0.8618,0.9802,1.074,5.366,one
4.247,1.388,5.537,5.443,1.279,1.722,0.6836,0.5505,1.162,0.979,1.06,4.982,one
4.401,1.191,5.096,5.698,1.393,2.206,0.7812,0.5005,1.355,1.298,1.367,4.96,one
4.276,0.9924,5.474,5.76,1.445,2.286,0.9778,0.5103,1.476,1.639,1.643,0.7654,one
4.452,0.9436,5.715,5.815,1.473,2.478,0.8081,0.4089,1.617,2.191,2.122,0.7849,one
4.612,0.9204,5.508,5.811,1.561,2.596,0.6348,0.5237,1.501,3.025,2.41,0.5981,one
4.432,0.8594,5.424,5.894,1.558,2.61,0.9717,0.542,1.602,3.711,2.489,0.6738,one
4.43,0.7495,5.667,5.892,1.678,2.675,0.8118,0.5334,1.829,4.464,2.708,0.7092,one
4.52,0.6702,5.691,5.914,1.599,2.671,1.038,0.4724,1.702,5.079,4.29,0.6848,one
4.409,0.8508,5.759,5.846,1.67,2.689,0.9619,0.5359,1.757,5.137,5.232,0.9094,one
4.503,0.542,5.443,5.945,1.677,2.758,1.086,0.5542,1.821,5.046,5.525,0.8569,one
4.645,0.5725,5.747,5.93,1.676,2.651,1.001,0.6494,1.837,5.002,5.227,0.7031,one
4.68,0.6445,5.573,5.928,1.671,2.671,0.9851,0.3223,1.797,5.159,5.555,0.752,one
4.519,0.6775,5.806,5.927,1.693,2.764,0.8594,0.5151,1.857,5.061,5.238,0.9839,one
4.406,0.6116,5.691,5.906,1.763,2.726,0.9607,0.6055,1.859,5.083,5.503,0.7544,one
4.68,0.5322,5.461,5.923,1.589,2.799,0.9937,0.625,1.821,5.099,5.601,0.9546,one
4.738,0.5298,5.68,5.916,1.844,2.798,1.028,0.6238,1.759,5.127,5.535,0.7275,one
4.503,0.5273,5.703,-9999,1.711,2.856,1.15,0.6201,1.736,5.094,5.452,0.769,one
4.744,0.5884,5.532,5.911,1.792,2.886,1.031,0.5627,1.868,4.989,5.382,0.6665,one
4.524,0.6311,5.773,5.822,1.803,2.8,1.049,0.6836,1.885,5.1,5.479,0.6958,one
4.57,0.4834,5.804,5.887,1.708,2.894,1.083,0.4919,1.807,5.062,5.336,0.8447,one
4.489,0.5054,5.79,5.9,1.849,2.919,0.9082,0.6055,1.809,5.216,5.555,0.6897,one
